,time,Ca_cyt,IP3,Ca_stored,IP3R_act
161,80.5,0.06177314823740936,0.13823087774210524,10.476901901419422,0.6499776166744617
162,81.0,0.06124733795362804,0.12819765731693972,10.479744119169592,0.6597746687910251
163,81.5,0.06087333800506598,0.12063258004504034,10.48176574051317,0.6691583558702195
164,82.0,0.060618713882880156,0.11495135689945608,10.483142087119578,0.678139183149864
165,82.5,0.06045762947177799,0.11070982575935238,10.484012813666078,0.6867287364281798
166,83.0,0.06036987319116973,0.1075699247633175,10.484487171939636,0.6949393453147418
167,83.5,0.060339769329610514,0.10527418992137422,10.48464989551563,0.7027837970631301
168,84.0,0.06035518920525037,0.10362645769747134,10.484566544836497,0.7102751074154322
169,84.5,0.06040673403858526,0.10247719407307482,10.484287924115767,0.7174263437438739
170,85.0,0.06048709238066928,0.10171232384616265,10.483853554699094,0.7242504918719469
171,85.5,0.06059054778290456,0.1012447270956089,10.483294336308632,0.730760357621891
172,86.0,0.060712606099675964,0.10100777257534033,10.482634561623382,0.7369684952508123
173,86.5,0.06084971433015151,0.10095040590089494,10.481893436053243,0.7428871564324524
174,87.0,0.06099904815363511,0.10103342237480775,10.481086226196574,0.7485282548503542
175,87.5,0.061158350636001786,0.10122664048136619,10.480225131697294,0.7539033426361337
176,88.0,0.06132580905231978,0.10150675879428055,10.479319951068549,0.7590235957982057
177,88.5,0.061499960220888605,0.10185573063657256,10.47837859340061,0.7638998064774354
178,89.0,0.061679617301328225,0.1022595305791829,10.477407474046883,0.7685423803838772
179,89.5,0.061863812869101024,0.10270721733447448,10.476411822329194,0.7729613381558017
180,90.0,0.0620517544227145,0.10319022084702466,10.47539592203939,0.777166319672721
181,90.5,0.0622427894523914,0.10370179904579413,10.474363300257352,0.7811665905737101
182,91.0,0.062436377907155276,0.10423662309572611,10.473316876177547,0.784971050399681
183,91.5,0.06263207041741899,0.10479046008858907,10.472259078824772,0.7885882419068635
184,92.0,0.06282949101590725,0.10535992972980762,10.471191940454561,0.792026361198306
185,92.5,0.06302832338859025,0.10594231731536041,10.470117170872488,0.79529326839779
186,93.0,0.06322829990555176,0.10653542961246704,10.46903621672675,0.7983964986513007
187,93.5,0.06342919284795398,0.10713748351027945,10.46795030892998,0.801343273288988
188,94.0,0.06363080737477937,0.10774701975700825,10.46686050067687,0.8041405110182378
189,94.5,0.06383297587143205,0.10836283594735269,10.46576769799226,0.8067948390482667
190,95.0,0.06403555339860377,0.10898393431869545,10.46467268433187,0.8093126040702355
191,95.5,0.06423841401926123,0.1096094809687803,10.463576140436423,0.8116998830355431
192,96.0,0.06444144782808998,0.11023877390588639,10.4624786603887,0.8139624936897493
193,96.5,0.06464455854418102,0.1108712179480946,10.461380764626046,0.8161060048312718
194,97.0,0.06484766155641311,0.11150630494854509,10.460282910505871,0.8181357462732388
195,97.5,0.06505068233358222,0.11214359817419949,10.459185500899553,0.8200568184941636
196,98.0,0.06525355512918646,0.11278271993327658,10.458088891193585,0.82187410196883
