,q,r,s,time,Ca_cyt,IP3,Ca_stored,IP3R_act
69,10.0,3.0,-13.0,110.0,0.0700032666009172,0.1282041192285032,10.43241477513018,0.8439497152154216
70,9.0,4.0,-13.0,88.0,0.0613258090523197,0.1015067587942805,10.479319951068549,0.7590235957982057
71,9.0,5.0,-14.0,83.0,0.0603698731911697,0.1075699247633175,10.484487171939636,0.6949393453147418
72,12.0,0.0,-12.0,101.5,0.0666654340813099,0.1172847066430198,10.450457113073991,0.8320567727503889
73,12.0,1.0,-13.0,85.0,0.0604870923806692,0.1017123238461626,10.483853554699094,0.7242504918719469
74,11.0,2.0,-13.0,96.5,0.064644558544181,0.1108712179480946,10.461380764626046,0.8161060048312718
75,11.0,3.0,-14.0,104.0,0.0676611515229421,0.1205072301929573,10.445074856632743,0.8370989573341397
76,10.0,4.0,-14.0,77.5,0.0703599255079675,0.3174866662235621,10.430486889146136,0.5821188002311014
77,10.0,5.0,-15.0,102.5,0.0670651712481728,0.1185741859728212,10.448296371631494,0.8342665769844665
78,13.0,0.0,-13.0,105.5,0.0682526643934937,0.1224371822308952,10.441877489764895,0.8394203629596214
79,13.0,1.0,-14.0,95.5,0.0642384140192612,0.1096094809687803,10.463576140436423,0.8116998830355431
80,12.0,2.0,-14.0,75.5,0.1182214170248448,0.7671171702364965,10.171776124190044,0.529031628927113
81,12.0,3.0,-15.0,111.0,0.0703888106079148,0.1294829422253358,10.430330753470733,0.8445588004464851
82,11.0,4.0,-15.0,99.0,0.0656586315681056,0.1140651765530141,10.45589928882105,0.8252157782771041
83,11.0,5.0,-16.0,84.5,0.0604067340385852,0.1024771940730748,10.484287924115767,0.7174263437438739
84,14.0,0.0,-14.0,53.0,0.0753031791556472,0.1457616905189161,10.40376659915866,0.8450447933639933
85,14.0,1.0,-15.0,85.0,0.0604870923806692,0.1017123238461626,10.483853554699094,0.7242504918719469
86,13.0,2.0,-15.0,59.5,0.0791820197920431,0.1578456174813706,10.38279989301599,0.8418553870588749
87,13.0,3.0,-16.0,57.0,0.0774115073048628,0.1524726630532572,10.392370230784527,0.8433469544428791
88,12.0,4.0,-16.0,86.5,0.0608497143301515,0.1009504059008949,10.481893436053245,0.7428871564324524
89,12.0,5.0,-17.0,71.0,0.9309270609387098,0.9474874809858288,5.778772643574559,0.6192356638158272
90,15.0,0.0,-15.0,70.5,0.9602371053425204,0.8699672324201959,5.620339971121529,0.6663607485946748
91,15.0,1.0,-16.0,72.0,0.7697567126020116,1.036558765086082,6.64996371566482,0.5517069349033858
92,14.0,2.0,-16.0,87.5,0.0611583506360017,0.1012266404813661,10.480225131697294,0.7539033426361337
93,14.0,3.0,-17.0,110.5,0.0701961278041172,0.1288435169004202,10.43137228213991,0.8442695881989617
94,13.0,4.0,-17.0,96.5,0.064644558544181,0.1108712179480946,10.461380764626046,0.8161060048312718
95,13.0,5.0,-18.0,106.5,0.0686445794018597,0.1237215935222242,10.439759030260216,0.8407177136721012
96,16.0,0.0,-16.0,88.5,0.0614999602208886,0.1018557306365725,10.47837859340061,0.7638998064774354
97,16.0,1.0,-17.0,62.0,0.0817928788649629,0.1652796616165758,10.36868714127048,0.8398800134507564
98,15.0,2.0,-17.0,57.5,0.0777257981646102,0.1534454658854064,10.390671361272378,0.8430784990476363
99,15.0,3.0,-18.0,69.5,0.7137343000874444,0.617248275904761,6.952787567094911,0.7704213232807563
100,14.0,4.0,-18.0,58.0,0.0780570983619182,0.1544622278390172,10.38888054939504,0.8427960400818999
101,14.0,5.0,-19.0,64.0,0.0853823803784568,0.1746116346434011,10.349284430386728,0.8376877221797729
102,17.0,0.0,-17.0,110.5,0.0701961278041172,0.1288435169004202,10.43137228213991,0.8442695881989617
103,17.0,1.0,-18.0,98.0,0.0652535551291864,0.1127827199332765,10.458088891193585,0.82187410196883
104,16.0,2.0,-18.0,74.5,0.2775699638076249,0.983822257992006,9.310432628066913,0.5107379227125103
105,16.0,3.0,-19.0,49.0,0.0735726270395354,0.1400757272154452,10.413120934921428,0.8459644555033631
106,15.0,4.0,-19.0,50.0,0.073985998726119,0.1414434708659651,10.410886493372324,0.8458126418160119
107,15.0,5.0,-20.0,56.0,0.0768254921381964,0.1506382177801355,10.395537880334071,0.8438443635791913
108,18.0,0.0,-18.0,82.5,0.0604576294717779,0.1107098257593523,10.484012813666078,0.6867287364281798
109,18.0,1.0,-19.0,75.5,0.1182214170248448,0.7671171702364965,10.171776124190044,0.529031628927113
110,17.0,2.0,-19.0,110.0,0.0700032666009172,0.1282041192285032,10.43241477513018,0.8439497152154216
111,17.0,3.0,-20.0,63.0,0.0833200285380285,0.1693676721581307,10.360432278172828,0.8388788696440713
112,16.0,4.0,-20.0,116.0,0.0723214711006894,0.1359165904069227,10.419883939996277,0.8460436189675629
113,16.0,5.0,-21.0,50.0,0.073985998726119,0.1414434708659651,10.410886493372324,0.8458126418160119
114,19.0,0.0,-19.0,68.0,0.1371307997057852,0.2571856037294258,10.069563244833608,0.8258806433144801
115,19.0,1.0,-20.0,75.0,0.1890581733563953,0.8989884760257926,9.7888747386141,0.5180158706896463
116,18.0,2.0,-20.0,78.5,0.0662421845711764,0.2228023241759736,10.452744948263923,0.6065006603096309
117,18.0,3.0,-21.0,100.5,0.0662638951317224,0.11599558668733,10.452627593882577,0.82956021221022
118,17.0,4.0,-21.0,49.0,0.0735726270395354,0.1400757272154452,10.413120934921428,0.8459644555033631
119,17.0,5.0,-22.0,50.5,0.0741965607716781,0.1421382684365697,10.409748320153088,0.8457163157067312
120,20.0,0.0,-20.0,60.5,0.0800821245724617,0.1604743226125309,10.377934461770488,0.8411371612642617
121,20.0,1.0,-21.0,100.5,0.0662638951317224,0.11599558668733,10.452627593882577,0.82956021221022
122,19.0,2.0,-21.0,64.5,0.0867308547577743,0.1778835447324189,10.341995379687717,0.8369937390180332
123,19.0,3.0,-22.0,58.5,0.0784080274744031,0.1555292701189834,10.3869836352735,0.8424987525352898
124,18.0,4.0,-22.0,72.5,0.6700563168210277,1.0567056709964486,7.1888847739404085,0.5307398390114114
125,18.0,5.0,-23.0,49.5,0.0737781239148184,0.1407562337195934,10.412010141000977,0.8458955017935941
126,21.0,0.0,-21.0,79.0,0.0646811422036438,0.1921876984002077,10.461183015115454,0.6180243945627981
127,21.0,1.0,-22.0,116.5,0.0725174351984492,0.1365692886439728,10.41882467460298,0.8460749709100704
128,20.0,2.0,-22.0,80.5,0.0617731482374093,0.1382308777421052,10.476901901419422,0.6499776166744617
129,20.0,3.0,-23.0,89.0,0.0616796173013282,0.1022595305791829,10.477407474046885,0.7685423803838772
130,19.0,4.0,-23.0,112.5,0.0709663817120461,0.1314027566911694,10.427208747502451,0.8452562686337612
131,19.0,5.0,-24.0,62.5,0.0825054811445937,0.167210036179263,10.36483523705626,0.8393991755033577
132,22.0,0.0,-22.0,57.5,0.0777257981646102,0.1534454658854064,10.390671361272378,0.8430784990476363
133,22.0,1.0,-23.0,63.0,0.0833200285380285,0.1693676721581307,10.360432278172828,0.8388788696440713
134,21.0,2.0,-23.0,97.0,0.0648476615564131,0.111506304948545,10.460282910505873,0.8181357462732388
135,21.0,3.0,-24.0,114.5,0.0717381160841559,0.1339728256304385,10.423037210355918,0.8458352200932938
136,20.0,4.0,-24.0,116.0,0.0723214711006894,0.1359165904069227,10.419883939996277,0.8460436189675629
137,20.0,5.0,-25.0,78.5,0.0662421845711764,0.2228023241759736,10.452744948263923,0.6065006603096309
138,23.0,0.0,-23.0,75.0,0.1890581733563953,0.8989884760257926,9.7888747386141,0.5180158706896463
139,23.0,1.0,-24.0,84.0,0.0603551892052503,0.1036264576974713,10.484566544836497,0.7102751074154322
140,22.0,2.0,-24.0,73.0,0.5681090023436418,1.0633154000106042,7.739951338683037,0.5170590946749022
141,22.0,3.0,-25.0,47.0,0.0727692123651316,0.1374070189020429,10.417463716945235,0.8460908021227952
